,Quarter,Tm,Detail,DET,CHI
0,1.0,Bears,George Blanda 22 yard field goal,0,3
1,2.0,Bears,Bobby Watkins 74 yard pass from Ed Brown (George Blanda kick),0,10
2,3.0,Lions,Howard Cassady 3 yard rush (Jim Martin kick),7,10
3,3.0,Lions,Dave Middleton 9 yard pass from Tobin Rote (Jim Martin kick),14,10
4,4.0,Bears,George Blanda 29 yard field goal,14,13
5,4.0,Lions,John Henry Johnson 2 yard rush (Jim Martin kick),21,13
