,Quarter,Time,Tm,Detail,NOR,NWE
0,1.0,11:35,Patriots,Antowain Smith 41 yard pass from Tom Brady (Adam Vinatieri kick),0,7
1,2.0,7:23,Patriots,Troy Brown 8 yard pass from Tom Brady (pass failed),0,13
2,2.0,0:10,Patriots,Charles Johnson 24 yard pass from Tom Brady (Adam Vinatieri kick),0,20
3,3.0,6:59,Saints,John Carney 31 yard field goal,3,20
4,3.0,2:11,Saints,Ricky Williams 3 yard rush (John Carney kick),10,20
5,4.0,13:24,Patriots,Marc Edwards 2 yard pass from Tom Brady (Adam Vinatieri kick),10,27
6,4.0,8:15,Saints,Willie Jackson 7 yard pass from Aaron Brooks (John Carney kick),17,27
7,4.0,2:25,Patriots,Antowain Smith 3 yard rush (Adam Vinatieri kick),17,34
