,Quarter,Tm,Detail,WAS,NWE
0,2.0,Redskins,Charley Taylor 30 yard pass from Billy Kilmer (Curt Knight kick),7,0
1,2.0,Redskins,Charley Taylor 4 yard pass from Billy Kilmer (Curt Knight kick),14,0
2,2.0,Patriots,Josh Ashton 2 yard rush (Charlie Gogolak kick),14,7
3,3.0,Patriots,Reggie Rucker 11 yard pass from Jim Plunkett (Charlie Gogolak kick),14,14
4,3.0,Patriots,Charlie Gogolak 42 yard field goal,14,17
5,4.0,Redskins,Jerry Smith 9 yard pass from Billy Kilmer (Curt Knight kick),21,17
6,4.0,Patriots,Josh Ashton 24 yard pass from Jim Plunkett (Charlie Gogolak kick),21,24
7,4.0,Redskins,"Safety, Malinchak blocked punt through end zone",23,24
