,Quarter,Tm,Detail,NYG,TAM
0,1.0,Buccaneers,Ricky Bell 21 yard rush (Garo Yepremian kick),0,7
1,2.0,Buccaneers,Garo Yepremian 22 yard field goal,0,10
2,2.0,Buccaneers,Garo Yepremian 37 yard field goal,0,13
3,2.0,Buccaneers,Mike Shumann 25 yard pass from Doug Williams (Garo Yepremian kick),0,20
4,2.0,Buccaneers,Garo Yepremian 35 yard field goal,0,23
5,3.0,Giants,Gary Shirk 8 yard pass from Phil Simms,6,23
6,4.0,Buccaneers,Ricky Bell 1 yard rush (Garo Yepremian kick),6,30
7,4.0,Giants,Larry Heater 1 yard rush (Joe Danelo kick),13,30
