,Quarter,Tm,Detail,GNB,PIT
0,1.0,Packers,George Sauer 3 yard rush,6,0
1,2.0,Packers,George Sauer 75 yard interception return (Ernie Smith kick),13,0
2,2.0,Pirates,Jim Levey 3 yard rush (Armand Niccolai kick),13,7
3,2.0,Packers,Johnny Blood 41 yard pass from Bob Monnett (Ernie Smith kick),20,7
4,3.0,Pirates,Jim Levey 13 yard pass from John Turley (Armand Niccolai kick),20,14
5,4.0,Packers,Clarke Hinkle 2 yard rush (Ernie Smith kick),27,14
6,4.0,Packers,Johnny Blood 11 yard interception return (Ernie Smith kick),34,14
