,Quarter,Time,Tm,Detail,STL,NOR
0,1.0,,Saints,Cam Cleeland 10 yard pass from Kerry Collins (Doug Brien kick),0,7
1,1.0,,Saints,Tyronne Drakeford 32 yard interception return (Doug Brien kick),0,14
2,1.0,,Rams,Jeff Wilkins 33 yard field goal,3,14
3,2.0,,Saints,Doug Brien 26 yard field goal,3,17
4,2.0,2:08,Saints,Austin Robbins defensive fumble recovery in end zone (Doug Brien kick),3,24
