,Quarter,Tm,Detail,CLE,STL
0,1.0,Browns,Rich Kreitling 23 yard pass from Frank Ryan (Lou Groza kick),7,0
1,2.0,Cardinals,Jim Bakken 33 yard field goal,7,3
2,2.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),14,3
3,2.0,Browns,Jim Brown 3 yard rush (Lou Groza kick),21,3
4,3.0,Cardinals,Joe Childress 8 yard rush (Jim Bakken kick),21,10
5,4.0,Browns,Lou Groza 19 yard field goal,24,10
