,Quarter,Tm,Detail,CRD,BKN
0,1,Cardinals,Bill Smith 34 yard rush (Bill Smith kick),7,0
1,3,Cardinals,Mike Mikulak 2 yard rush (Bill Smith kick),14,0
2,4,Cardinals,Mike Mikulak 1 yard rush (Bill Smith kick),21,0
