,Quarter,Time,Tm,Detail,PHI,ATL
0,1.0,,Eagles,Michael Timpson 3 yard pass from Bobby Hoying (Chris Boniol kick),7,0
1,2.0,,Falcons,Byron Hanspard 10 yard pass from Chris Chandler (Morten Andersen kick),7,7
2,3.0,,Falcons,Jamal Anderson 2 yard rush (Morten Andersen kick),7,14
3,4.0,,Falcons,Morten Andersen 21 yard field goal,7,17
4,4.0,,Eagles,Ricky Watters 1 yard rush (Chris Boniol kick),14,17
5,4.0,,Eagles,Chris Boniol 39 yard field goal,17,17
6,4.0,,Falcons,Morten Andersen 33 yard field goal,17,20
