,Quarter,Tm,Detail,RAI,DAL
0,1.0,Cowboys,Danny White 15 yard pass from Ron Springs (Rafael Septien kick),0,7
1,1.0,Raiders,Chris Bahr 37 yard field goal,3,7
2,1.0,Raiders,Derrick Jensen 2 yard pass from Marc Wilson (Chris Bahr kick),10,7
3,2.0,Cowboys,Ron Springs 2 yard rush (Rafael Septien kick),10,14
4,2.0,Cowboys,Rafael Septien 23 yard field goal,10,17
5,2.0,Raiders,Frank Hawkins 23 yard rush (Chris Bahr kick),17,17
6,2.0,Cowboys,Butch Johnson 15 yard pass from Danny White (Rafael Septien kick),17,24
7,2.0,Raiders,Frank Hawkins 17 yard pass from Marc Wilson (Chris Bahr kick),24,24
8,2.0,Raiders,Todd Christensen 1 yard pass from Marc Wilson (Chris Bahr kick),31,24
9,3.0,Raiders,Chris Bahr 24 yard field goal,34,24
10,4.0,Cowboys,Doug Donley 17 yard pass from Danny White (Rafael Septien kick),34,31
11,4.0,Cowboys,Mike Hegman 9 yard defensive fumble return (Rafael Septien kick),34,38
12,4.0,Raiders,Chris Bahr 26 yard field goal,37,38
13,4.0,Raiders,Chris Bahr 26 yard field goal,40,38
