,Quarter,Tm,Detail,HOU,RAM
0,1.0,Oilers,Drew Hill 40 yard pass from Warren Moon (Teddy Garcia kick),7,0
1,1.0,Rams,Mike Lansford 19 yard field goal,7,3
2,1.0,Oilers,Teddy Garcia 27 yard field goal,10,3
3,2.0,Rams,Cleveland Gary 1 yard rush (Mike Lansford kick),10,10
4,2.0,Rams,Damone Johnson 2 yard pass from Jim Everett (Mike Lansford kick),10,17
5,4.0,Oilers,Teddy Garcia 31 yard field goal,13,17
