,Quarter,Tm,Detail,PIT,CIN
0,2.0,Steelers,Terry Hanratty 3 yard rush (Roy Gerela kick),7,0
1,2.0,Bengals,Bruce Coslet 43 yard pass from Virgil Carter (Horst Muhlmann kick),7,7
2,3.0,Bengals,Horst Muhlmann 22 yard field goal,7,10
3,3.0,Bengals,Horst Muhlmann 18 yard field goal,7,13
4,4.0,Steelers,John Fuqua 40 yard pass from Terry Bradshaw (Roy Gerela kick),14,13
5,4.0,Steelers,Ron Shanklin 5 yard pass from Terry Bradshaw (Roy Gerela kick),21,13
