,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Jets,Freeman McNeil 30 yard rush (Pat Leahy kick),0,7
1,2.0,Jets,Pat Leahy 37 yard field goal,0,10
2,2.0,Jets,Pat Leahy 22 yard field goal,0,13
3,3.0,Jets,Freeman McNeil 1 yard rush,0,19
4,3.0,Jets,Pat Leahy 27 yard field goal,0,22
5,4.0,Jets,Pat Leahy 27 yard field goal,0,25
