,Quarter,Time,Tm,Detail,MIN,CHI
0,2.0,12:20,Bears,Devin Hester 45 yard punt return (Robbie Gould kick),0,7
1,2.0,8:54,Vikings,Ryan Longwell 23 yard field goal,3,7
2,3.0,10:07,Vikings,Ryan Longwell 30 yard field goal,6,7
3,3.0,4:33,Bears,Ricky Manning 54 yard interception return (Robbie Gould kick),6,14
4,3.0,3:04,Bears,Cedric Benson 24 yard rush (Robbie Gould kick),6,21
5,4.0,13:59,Bears,"Safety,",6,23
6,4.0,5:40,Vikings,Ciatrick Fason 4 yard rush (Ryan Longwell kick),13,23
