,Quarter,Time,Tm,Detail,BUF,WAS
0,1.0,10:55,Redskins,Stephen Davis 8 yard rush (Brett Conway kick),0,7
1,1.0,3:48,Bills,Steve Christie 23 yard field goal,3,7
2,2.0,8:45,Bills,Bobby Collins 6 yard pass from Doug Flutie (Steve Christie kick),10,7
3,2.0,5:24,Redskins,Brett Conway 41 yard field goal,10,10
4,2.0,0:18,Bills,Antowain Smith 1 yard rush (Steve Christie kick),17,10
5,3.0,6:50,Bills,Antowain Smith 10 yard rush (Steve Christie kick),24,10
6,3.0,0:50,Bills,Eric Moulds 14 yard pass from Doug Flutie (Steve Christie kick),31,10
7,4.0,7:27,Redskins,Albert Connell 19 yard pass from Brad Johnson (Brett Conway kick),31,17
8,4.0,4:01,Bills,Steve Christie 21 yard field goal,34,17
