,Quarter,Tm,Detail,WAS,NYG
0,1.0,Giants,Alex Webster 10 yard rush (Pat Summerall kick),0,7
1,1.0,Giants,Kyle Rote 2 yard pass from Charlie Conerly (Pat Summerall kick),0,14
2,2.0,Giants,Bob Schnelker 7 yard pass from Charlie Conerly (Pat Summerall kick),0,21
3,2.0,Giants,Bob Schnelker 34 yard pass from Charlie Conerly (Pat Summerall kick),0,28
4,2.0,Giants,Pat Summerall 31 yard field goal,0,31
5,2.0,Giants,Phil King 24 yard pass from Frank Gifford (Pat Summerall kick),0,38
6,3.0,Redskins,Jim Podoley 9 yard pass from Eddie LeBaron (Sam Baker kick),7,38
7,4.0,Redskins,Bill Anderson 15 yard pass from Eddie LeBaron (Sam Baker kick),14,38
8,4.0,Giants,Alex Webster 1 yard rush (Pat Summerall kick),14,45
