,Quarter,Time,Tm,Detail,PHI,CLE
0,1.0,3:02,Eagles,Darnell Autry 3 yard rush (David Akers kick),7,0
1,2.0,14:20,Browns,David Patten 9 yard pass from Doug Pederson (Phil Dawson kick),7,7
2,2.0,10:13,Browns,Travis Prentice 1 yard rush (Phil Dawson kick),7,14
3,2.0,8:06,Eagles,Torrance Small 24 yard pass from Donovan McNabb (David Akers kick),14,14
4,2.0,1:04,Eagles,Torrance Small 8 yard pass from Donovan McNabb (David Akers kick),21,14
5,3.0,12:13,Eagles,Charles Johnson 11 yard pass from Donovan McNabb (David Akers kick),28,14
6,3.0,4:03,Eagles,Charles Johnson 38 yard pass from Donovan McNabb (David Akers kick),35,14
7,4.0,11:22,Browns,Phil Dawson 29 yard field goal,35,17
8,4.0,8:54,Browns,Travis Prentice 1 yard rush (Phil Dawson kick),35,24
