,Quarter,Tm,Detail,BAL,SFO
0,1,Colts,Buddy Young 21 yard pass from Gary Kerkorian (Gary Kerkorian kick),7,0
1,2,49ers,Gordie Soltau 11 yard field goal,7,3
2,3,49ers,Joe Perry 1 yard rush (Gordie Soltau kick),7,10
