,Quarter,Time,Tm,Detail,DEN,IND
0,1.0,13:13,Colts,Mike Vanderjagt 22 yard field goal,0,3
1,1.0,10:23,Colts,Mike Vanderjagt 40 yard field goal,0,6
2,1.0,7:21,Colts,Mike Vanderjagt 45 yard field goal,0,9
3,2.0,14:56,Broncos,Desmond Clark 1 yard pass from Brian Griese (Jason Elam kick),7,9
4,2.0,4:20,Colts,Marvin Harrison 20 yard pass from Peyton Manning (Mike Vanderjagt kick),7,16
5,2.0,2:48,Colts,Mike Vanderjagt 22 yard field goal,7,19
6,3.0,10:14,Colts,Mike Vanderjagt 25 yard field goal,7,22
7,3.0,3:27,Broncos,Jason Elam 25 yard field goal,10,22
8,4.0,14:54,Colts,Marvin Harrison 43 yard pass from Peyton Manning (Mike Vanderjagt kick),10,29
