,Quarter,Time,Tm,Detail,TAM,DET
0,2.0,4:53,Buccaneers,Martin Gramatica 37 yard field goal,3,0
1,2.0,1:52,Buccaneers,Warrick Dunn 12 yard pass from Brad Johnson (Martin Gramatica kick),10,0
2,3.0,2:51,Lions,Cory Schlesinger 1 yard rush (Jason Hanson kick),10,7
3,3.0,0:00,Buccaneers,Karl Williams 84 yard punt return (Martin Gramatica kick),17,7
4,4.0,7:36,Lions,Jason Hanson 38 yard field goal,17,10
5,4.0,1:49,Lions,Reuben Droughns 8 yard pass from Charlie Batch (Jason Hanson kick),17,17
6,4.0,0:04,Buccaneers,Martin Gramatica 35 yard field goal,20,17
