,Quarter,Tm,Detail,CRD,WAS
0,1.0,Redskins,Joe Aguirre 58 yard pass from Frank Filchock (Joe Aguirre kick),0,7
1,2.0,Redskins,Joe Aguirre 47 yard pass from Frank Filchock (Joe Aguirre kick),0,14
2,3.0,Cards/Steelers,John Grigas 1 yard rush (Conway Baker kick),7,14
3,3.0,Redskins,Wilbur Moore 75 yard rush (Larry Weldon kick),7,21
4,4.0,Cards/Steelers,John Grigas 8 yard rush,13,21
5,4.0,Cards/Steelers,Don Currivan 7 yard pass from John Grigas (Conway Baker kick),20,21
6,4.0,Redskins,Bob Seymour 3 yard rush (Larry Weldon kick),20,28
7,4.0,Redskins,Bob Seymour 23 yard pass from Frank Filchock (Larry Weldon kick),20,35
8,4.0,Redskins,Doug Turley 35 yard pass from Sammy Baugh (Larry Weldon kick),20,42
