,Quarter,Time,Tm,Detail,WAS,BUF
0,1.0,5:11,Bills,Scott Chandler 20 yard pass from Ryan Fitzpatrick (Rian Lindell kick),0,7
1,2.0,8:45,Bills,Rian Lindell 37 yard field goal,0,10
2,2.0,0:00,Bills,Rian Lindell 44 yard field goal,0,13
3,3.0,10:56,Bills,Scott Chandler 15 yard pass from Ryan Fitzpatrick (Rian Lindell kick),0,20
4,4.0,3:26,Bills,Rian Lindell 41 yard field goal,0,23
