,Quarter,Tm,Detail,CLE,PHI
0,1.0,Browns,Jim Brown 62 yard rush (Lou Groza kick),7,0
1,1.0,Eagles,Mike Clark 22 yard field goal,7,3
2,2.0,Eagles,Clarence Peaks 2 yard rush (Mike Clark kick),7,10
3,2.0,Browns,Lou Groza 9 yard field goal,10,10
4,2.0,Browns,Lou Groza 22 yard field goal,13,10
5,2.0,Browns,Lou Groza 34 yard field goal,16,10
6,3.0,Browns,Ernie Green 21 yard pass from Frank Ryan (Lou Groza kick),23,10
7,4.0,Eagles,Ron Goodwin 14 yard pass from King Hill (Mike Clark kick),23,17
