,Quarter,Time,Tm,Detail,OAK,KAN
0,1,13:03,Chiefs,Tamarick Vanover 84 yard punt return (Pete Stoyanovich kick),0,7
1,1,12:46,Chiefs,James Hasty 34 yard interception return (Pete Stoyanovich kick),0,14
2,1,7:31,Chiefs,Pete Stoyanovich 33 yard field goal,0,17
3,1,2:49,Raiders,Kenny Shedd 20 yard blocked punt return (Joe Nedney kick),7,17
4,2,8:34,Raiders,Zack Crockett 12 yard pass from Rich Gannon (Joe Nedney kick),14,17
5,2,3:09,Raiders,Napoleon Kaufman 22 yard pass from Rich Gannon (Joe Nedney kick),21,17
6,2,0:54,Chiefs,Tony Gonzalez 7 yard pass from Elvis Grbac (Pete Stoyanovich kick),21,24
7,2,0:13,Raiders,Tyrone Wheatley 23 yard pass from Rich Gannon (Joe Nedney kick),28,24
8,3,3:04,Chiefs,Joe Horn 15 yard pass from Elvis Grbac (Pete Stoyanovich kick),28,31
9,3,2:03,Raiders,Tyrone Wheatley 26 yard rush (Joe Nedney kick),35,31
10,4,7:22,Chiefs,Kevin Lockett 39 yard pass from Elvis Grbac (Pete Stoyanovich kick),35,38
11,4,0:45,Raiders,Joe Nedney 38 yard field goal,38,38
12,OT,11:47,Raiders,Joe Nedney 33 yard field goal,41,38
