,Quarter,Tm,Detail,RAM,SFO
0,1.0,49ers,Ricky Watters 3 yard rush (Mike Cofer kick),0,7
1,2.0,Rams,Pat Carter 11 yard pass from Jim Everett (Tony Zendejas kick),7,7
2,2.0,49ers,Mike Cofer 26 yard field goal,7,10
3,4.0,Rams,Tony Zendejas 33 yard field goal,10,10
4,4.0,Rams,Robert Bailey 24 yard interception return (Tony Zendejas kick),17,10
5,4.0,49ers,Steve Young 8 yard rush (Mike Cofer kick),17,17
6,4.0,49ers,Steve Young 39 yard rush (Mike Cofer kick),17,24
7,4.0,Rams,Flipper Anderson 9 yard pass from Jim Everett (Tony Zendejas kick),24,24
8,4.0,49ers,Mike Cofer 21 yard field goal,24,27
