,Quarter,Tm,Detail,CHI,WAS
0,1.0,Bears,Hugh Gallarneau 1 yard rush (Ray McLean kick),7,0
1,1.0,Bears,Mike Holovak 1 yard rush (Ray McLean kick),14,0
2,2.0,Redskins,Eddie Saenz 2 yard pass from Sammy Baugh (Dick Poillon kick),14,7
3,3.0,Bears,Jim Keane 17 yard pass from Sid Luckman (Ray McLean kick),21,7
4,3.0,Bears,Bulldog Turner 96 yard interception return (Ray McLean kick),28,7
5,3.0,Bears,Ed Cifers 6 yard pass from Sid Luckman (Ray McLean kick),35,7
6,3.0,Redskins,Joe Duckworth 46 yard pass from Jim Youel,35,13
7,4.0,Redskins,Joe Duckworth 6 yard pass from Jim Youel (Dick Poillon kick),35,20
8,4.0,Bears,George McAfee 3 yard pass from Sid Luckman (Ray McLean kick),42,20
9,4.0,Bears,Frank Minini 33 yard rush (Ray McLean kick),49,20
10,4.0,Bears,Bob Fenimore 27 yard pass from Nick Sacrinty (Ray McLean kick),56,20
