,Quarter,Tm,Detail,BUF,PHI
0,1.0,Bills,Andre Reed 14 yard rush (Scott Norwood kick),7,0
1,2.0,Bills,Scott Norwood 26 yard field goal,10,0
2,3.0,Bills,Andre Reed 7 yard pass from Vince Ferragamo (Scott Norwood kick),17,0
3,4.0,Eagles,Ron Jaworski 3 yard rush (Paul McFadden kick),17,7
4,4.0,Eagles,Wes Hopkins 24 yard interception return (Paul McFadden kick),17,14
5,4.0,Eagles,Mike Quick 32 yard pass from Ron Jaworski (Paul McFadden kick),17,21
