,Quarter,Time,Tm,Detail,NOR,TAM
0,1.0,,Buccaneers,Michael Husted 43 yard field goal,0,3
1,2.0,,Buccaneers,Michael Husted 38 yard field goal,0,6
2,3.0,,Buccaneers,Mike Alstott 17 yard pass from Trent Dilfer (Michael Husted kick),0,13
3,3.0,,Saints,Tony Johnson 1 yard pass from Jim Everett (Doug Brien kick),7,13
