,Quarter,Tm,Detail,DEN,CHI
0,1.0,Bears,Matt Suhey 13 yard rush (Bob Thomas kick),0,7
1,1.0,Bears,Willie Gault 15 yard pass from Jim McMahon (Bob Thomas kick),0,14
2,2.0,Bears,Leslie Frazier 11 yard interception return (Bob Thomas kick),0,21
3,2.0,Bears,Bob Thomas 19 yard field goal,0,24
4,3.0,Broncos,Nathan Poole 15 yard rush (Rich Karlis kick),7,24
5,4.0,Broncos,Rick Upchurch 15 yard pass from Steve DeBerg (Rich Karlis kick),14,24
6,4.0,Bears,Willie Gault 72 yard pass from Vince Evans (Bob Thomas kick),14,31
