,Quarter,Tm,Detail,WAS,ATL
0,2.0,Falcons,Junior Coffey 20 yard rush (Wade Traynham kick),0,7
1,2.0,Redskins,Charley Taylor 9 yard pass from Sonny Jurgensen (Brig Owens kick),7,7
2,2.0,Falcons,Bill Martin 13 yard pass from Randy Johnson (Wade Traynham kick),7,14
3,3.0,Redskins,Jerry Smith 3 yard pass from Sonny Jurgensen (Brig Owens kick),14,14
4,4.0,Falcons,Wade Traynham 31 yard field goal,14,17
5,4.0,Redskins,Bobby Mitchell 24 yard pass from Sonny Jurgensen,20,17
6,4.0,Falcons,Wade Traynham 31 yard field goal,20,20
