,Quarter,Tm,Detail,PHI,PHO
0,1.0,Eagles,Roger Ruzek 33 yard field goal,3,0
1,2.0,Eagles,Fred Barnett 17 yard pass from Randall Cunningham (Roger Ruzek kick),10,0
2,2.0,Cardinals,Ricky Proehl 10 yard pass from Chris Chandler (Greg Davis kick),10,7
3,2.0,Cardinals,Ernie Jones 46 yard pass from Chris Chandler (Greg Davis kick),10,14
4,2.0,Eagles,Calvin Williams 10 yard pass from Randall Cunningham (Roger Ruzek kick),17,14
5,3.0,Eagles,Fred Barnett 71 yard pass from Randall Cunningham (Roger Ruzek kick),24,14
6,4.0,Eagles,Reggie White 37 yard defensive fumble return (Roger Ruzek kick),31,14
