,Quarter,Tm,Detail,KAN,DEN
0,2.0,Chiefs,Willie Davis 50 yard pass from Dave Krieg (Nick Lowery kick),7,0
1,2.0,Broncos,David Treadwell 41 yard field goal,7,3
2,2.0,Chiefs,Nick Lowery 44 yard field goal,10,3
3,3.0,Chiefs,Nick Lowery 36 yard field goal,13,3
4,3.0,Broncos,David Treadwell 22 yard field goal,13,6
5,4.0,Chiefs,Nick Lowery 26 yard field goal,16,6
6,4.0,Chiefs,Nick Lowery 33 yard field goal,19,6
7,4.0,Broncos,Mark Jackson 25 yard pass from John Elway (David Treadwell kick),19,13
8,4.0,Broncos,Vance Johnson 12 yard pass from John Elway (David Treadwell kick),19,20
