,Quarter,Time,Tm,Detail,CLE,SDG
0,1.0,4:12,Browns,Travis Coons 36 yard field goal,3,0
1,1.0,0:48,Chargers,Keenan Allen 28 yard pass from Philip Rivers (Josh Lambo kick),3,7
2,2.0,14:10,Browns,Duke Johnson 34 yard pass from Josh McCown (Travis Coons kick),10,7
3,2.0,10:37,Chargers,Josh Lambo 46 yard field goal,10,10
4,2.0,1:36,Chargers,Josh Lambo 45 yard field goal,10,13
5,2.0,0:03,Browns,Travis Coons 28 yard field goal,13,13
6,3.0,5:54,Browns,Travis Coons 33 yard field goal,16,13
7,3.0,4:23,Chargers,Ladarius Green 19 yard pass from Philip Rivers (Josh Lambo kick),16,20
8,4.0,9:57,Browns,Travis Coons 40 yard field goal,19,20
9,4.0,7:26,Chargers,John Phillips 1 yard pass from Philip Rivers (Josh Lambo kick),19,27
10,4.0,2:09,Browns,Gary Barnidge 1 yard pass from Josh McCown (Taylor Gabriel pass from Josh McCown),27,27
11,4.0,0:00,Chargers,Josh Lambo 34 yard field goal,27,30
