,Quarter,Tm,Detail,NYG,BOS
0,2.0,Giants,Carl Fennema 26 yard pass from Charlie Conerly (Len Younce kick),7,0
1,2.0,Giants,Bill Swiacki 65 yard pass from Charlie Conerly (Len Younce kick),14,0
2,3.0,Giants,Ray Poole 3 yard fumble return,20,0
3,4.0,Yanks,Boley Dancewicz 1 yard rush (Roy Zimmerman kick),20,7
4,4.0,Giants,Bill Swiacki 24 yard pass from Paul Governali (Len Younce kick),27,7
