,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,,Broncos,Jason Elam 35 yard field goal,0,3
1,2.0,,Broncos,Jason Elam 36 yard field goal,0,6
2,2.0,,Broncos,Jason Elam 25 yard field goal,0,9
3,3.0,,Chiefs,Pete Stoyanovich 20 yard field goal,3,9
4,4.0,,Broncos,Terrell Davis 10 yard rush (Jason Elam kick),3,16
5,4.0,,Broncos,Jason Elam 53 yard field goal,3,19
