,Quarter,Tm,Detail,BRL,HRT
0,2.0,Blues,Harry Brian 30 yard pass from Lou Smyth (Jack Perrin kick),0,7
1,3.0,Lions,Herm Bagby 95 yard interception return,6,7
2,4.0,Blues,Vic Radzievitch 25 yard field goal,6,10
3,4.0,Blues,Red O'Neill 30 yard fumble return,6,16
