,Quarter,Tm,Detail,BAL,BOS
0,2.0,Colts,Eddie Hinton 13 yard pass from Earl Morrall (Jim O'Brien kick),7,0
1,2.0,Patriots,Gino Cappelletti 13 yard field goal,7,3
2,4.0,Patriots,Gino Cappelletti 25 yard field goal,7,6
3,4.0,Colts,Roy Jefferson 55 yard pass from Johnny Unitas (Jim O'Brien kick),14,6
