,Quarter,Time,Tm,Detail,OAK,SDG
0,1.0,,Raiders,Jeff Jaeger 30 yard field goal,3,0
1,2.0,,Chargers,John Carney 39 yard field goal,3,3
2,2.0,,Chargers,John Carney 24 yard field goal,3,6
3,3.0,,Chargers,John Carney 28 yard field goal,3,9
4,4.0,,Raiders,Jeff Jaeger 26 yard field goal,6,9
5,4.0,,Chargers,John Carney 38 yard field goal,6,12
