,Quarter,Time,Tm,Detail,PHI,JAX
0,1.0,6:50,Jaguars,Josh Lambo 50 yard field goal,0,3
1,2.0,7:43,Eagles,Jake Elliott 31 yard field goal,3,3
2,2.0,2:43,Jaguars,Josh Lambo 57 yard field goal,3,6
3,2.0,0:29,Eagles,Dallas Goedert 32 yard pass from Carson Wentz (Jake Elliott kick),10,6
4,3.0,8:39,Eagles,Wendell Smallwood 36 yard pass from Carson Wentz (Jake Elliott kick),17,6
5,3.0,4:33,Jaguars,Dede Westbrook 11 yard pass from Blake Bortles (pass failed),17,12
6,4.0,13:10,Jaguars,Josh Lambo 33 yard field goal,17,15
7,4.0,9:55,Eagles,Zach Ertz 5 yard pass from Carson Wentz (Jake Elliott kick),24,15
8,4.0,6:57,Jaguars,Josh Lambo 24 yard field goal,24,18
