,Quarter,Tm,Detail,SEA,SDG
0,1.0,Chargers,Lionel James 7 yard pass from Dan Fouts (Bob Thomas kick),0,7
1,1.0,Chargers,Bob Thomas 21 yard field goal,0,10
2,1.0,Seahawks,Daryl Turner 34 yard pass from Dave Krieg (Norm Johnson kick),7,10
3,2.0,Seahawks,Curt Warner 3 yard rush (Norm Johnson kick),14,10
4,2.0,Chargers,Charlie Joiner 18 yard pass from Dan Fouts,14,16
5,2.0,Chargers,Wes Chandler 20 yard pass from Dan Fouts (Bob Thomas kick),14,23
6,3.0,Seahawks,Steve Largent 6 yard pass from Dave Krieg (Norm Johnson kick),21,23
7,3.0,Chargers,Eric Sievers 5 yard pass from Dan Fouts,21,29
8,3.0,Seahawks,Daryl Turner 15 yard pass from Dave Krieg (Norm Johnson kick),28,29
9,3.0,Seahawks,Daryl Turner 30 yard pass from Dave Krieg (Norm Johnson kick),35,29
10,3.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),42,29
11,4.0,Seahawks,Daryl Turner 7 yard pass from Dave Krieg (Norm Johnson kick),49,29
12,4.0,Chargers,Charlie Joiner 1 yard pass from Mark Herrmann,49,35
