,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Roger Craig 1 yard rush,6,0
1,2.0,49ers,Dwight Clark 6 yard pass from Joe Montana (Jeff Brockhaus kick),13,0
2,2.0,49ers,Terry Greer 5 yard pass from Bob Gagliano (Jeff Brockhaus kick),20,0
3,3.0,Falcons,Rick Badanjek 3 yard rush (Greg Davis kick),20,7
4,3.0,Falcons,Greg Davis 42 yard field goal,20,10
5,4.0,49ers,Jeff Brockhaus 20 yard field goal,23,10
6,4.0,49ers,"Safety, Fuller tackled Kramer in end zone",25,10
7,4.0,Falcons,John Kamana 4 yard pass from Erik Kramer (Greg Davis kick),25,17
