,Quarter,Tm,Detail,PIT,HOU
0,1.0,Steelers,David Trout 40 yard field goal,3,0
1,1.0,Oilers,Dave Casper 15 yard pass from Gifford Nielsen (Toni Fritsch kick),3,7
2,2.0,Oilers,Dave Casper 23 yard pass from Gifford Nielsen (Toni Fritsch kick),3,14
3,2.0,Steelers,David Trout 37 yard field goal,6,14
4,3.0,Steelers,Sidney Thornton 17 yard rush (David Trout kick),13,14
5,3.0,Steelers,Mark Malone 2 yard rush (David Trout kick),20,14
6,4.0,Oilers,Dave Casper 16 yard pass from Gifford Nielsen (Toni Fritsch kick),20,21
