,Quarter,Tm,Detail,PHI,CLE
0,1.0,Eagles,Frank Ziegler 3 yard rush (Bobby Walston kick),7,0
1,1.0,Eagles,Bobby Walston 3 yard pass from Bobby Thomason (Bobby Walston kick),14,0
2,1.0,Browns,Mac Speedie 28 yard pass from Otto Graham (Lou Groza kick),14,7
3,2.0,Browns,Lou Groza 18 yard field goal,14,10
4,3.0,Browns,Mac Speedie 48 yard pass from Otto Graham (Lou Groza kick),14,17
5,3.0,Browns,Lou Groza 19 yard field goal,14,20
6,4.0,Eagles,Ralph Goldston 2 yard rush (Bobby Walston kick),21,20
7,4.0,Eagles,Ralph Goldston 2 yard rush (Bobby Walston kick),28,20
