,Quarter,Tm,Detail,STL,PIT
0,1.0,Cardinals,Sonny Randle 8 yard pass from Charley Johnson (Jim Bakken kick),7,0
1,1.0,Steelers,Gary Ballman 5 yard rush (Mike Clark kick),7,7
2,3.0,Cardinals,Jim Bakken 32 yard field goal,10,7
3,4.0,Cardinals,Bobby Joe Conrad 71 yard pass from Charley Johnson (Jim Bakken kick),17,7
4,4.0,Cardinals,Jim Bakken 35 yard field goal,20,7
