,Quarter,Time,Tm,Detail,MIA,SFO
0,1.0,10:49,Dolphins,Adam Shaheen 3 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,0
1,1.0,4:17,Dolphins,Myles Gaskin 1 yard rush (Jason Sanders kick),14,0
2,2.0,12:10,49ers,Kyle Juszczyk 7 yard rush (Robbie Gould kick),14,7
3,2.0,7:35,Dolphins,DeVante Parker 22 yard pass from Ryan Fitzpatrick (Jason Sanders kick),21,7
4,2.0,2:04,Dolphins,Jason Sanders 26 yard field goal,24,7
5,2.0,0:43,Dolphins,Jason Sanders 50 yard field goal,27,7
6,2.0,0:05,Dolphins,Jason Sanders 29 yard field goal,30,7
7,3.0,8:16,49ers,Kendrick Bourne 19 yard pass from C.J. Beathard (Robbie Gould kick),30,14
8,3.0,4:48,Dolphins,Preston Williams 32 yard pass from Ryan Fitzpatrick (Jason Sanders kick),37,14
9,3.0,0:51,49ers,Robbie Gould 37 yard field goal,37,17
10,4.0,8:45,Dolphins,Jason Sanders 31 yard field goal,40,17
11,4.0,5:57,Dolphins,Jason Sanders 49 yard field goal,43,17
