,Quarter,Tm,Detail,NOR,MIN
0,1.0,Vikings,Alfred Anderson 1 yard rush (Chuck Nelson kick),0,7
1,1.0,Vikings,Chuck Nelson 37 yard field goal,0,10
2,2.0,Vikings,Carl Hilton 1 yard pass from Wade Wilson (Chuck Nelson kick),0,17
3,2.0,Vikings,Hassan Jones 15 yard pass from Wade Wilson (Chuck Nelson kick),0,24
4,2.0,Vikings,Carl Lee 58 yard interception return (Chuck Nelson kick),0,31
5,3.0,Vikings,Jesse Solomon 78 yard interception return (Chuck Nelson kick),0,38
6,3.0,Saints,Morten Andersen 36 yard field goal,3,38
7,3.0,Vikings,Hassan Jones 68 yard pass from Wade Wilson (Chuck Nelson kick),3,45
