,Quarter,Time,Tm,Detail,GNB,MIN
0,2.0,12:11,Packers,Donald Driver 22 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,2.0,4:33,Packers,Antonio Chatman 4 yard pass from Brett Favre (Ryan Longwell kick),14,0
2,2.0,0:22,Packers,Ryan Longwell 53 yard field goal,17,0
3,3.0,10:02,Vikings,Paul Edinger 27 yard field goal,17,3
4,3.0,4:48,Vikings,Marcus Robinson 27 yard pass from Daunte Culpepper (Paul Edinger kick),17,10
5,4.0,9:01,Vikings,Paul Edinger 22 yard field goal,17,13
6,4.0,3:10,Vikings,Mewelde Moore 14 yard pass from Daunte Culpepper (Paul Edinger kick),17,20
7,4.0,0:24,Packers,Ryan Longwell 39 yard field goal,20,20
8,4.0,0:00,Vikings,Paul Edinger 56 yard field goal,20,23
