,Quarter,Tm,Detail,FRN,SIS
0,1,Stapletons,Ken Strong 12 yard pass from Doug Wycoff (Ken Strong kick),0,7
1,2,Stapletons,Doug Wycoff 1 yard rush (Ken Strong kick),0,14
2,4,Stapletons,Ken Strong 5 yard pass from Doug Wycoff (Ken Strong kick),0,21
