,Quarter,Tm,Detail,DAL,BUF
0,1.0,Bills,Thurman Thomas 2 yard rush (Steve Christie kick),0,7
1,1.0,Cowboys,Jay Novacek 23 yard pass from Troy Aikman (Lin Elliott kick),7,7
2,1.0,Cowboys,Jimmie Jones 2 yard defensive fumble return (Lin Elliott kick),14,7
3,2.0,Bills,Steve Christie 21 yard field goal,14,10
4,2.0,Cowboys,Michael Irvin 19 yard pass from Troy Aikman (Lin Elliott kick),21,10
5,2.0,Cowboys,Michael Irvin 18 yard pass from Troy Aikman (Lin Elliott kick),28,10
6,3.0,Cowboys,Lin Elliott 20 yard field goal,31,10
7,3.0,Bills,Don Beebe 40 yard pass from Frank Reich (Steve Christie kick),31,17
8,4.0,Cowboys,Alvin Harper 45 yard pass from Troy Aikman (Lin Elliott kick),38,17
9,4.0,Cowboys,Emmitt Smith 10 yard rush (Lin Elliott kick),45,17
10,4.0,Cowboys,Ken Norton Jr. 9 yard defensive fumble return (Lin Elliott kick),52,17
