,Quarter,Tm,Detail,SDG,CLE
0,1.0,Chargers,Shawn Jefferson 26 yard pass from Stan Humphries (John Carney kick),7,0
1,2.0,Browns,Matt Stover 36 yard field goal,7,3
2,4.0,Browns,Michael Jackson 24 yard pass from Mike Tomczak (Matt Stover kick),7,10
3,4.0,Browns,Matt Stover 28 yard field goal,7,13
4,4.0,Chargers,Anthony Miller 45 yard pass from Stan Humphries (John Carney kick),14,13
