,Quarter,Tm,Detail,PHI,DET
0,1.0,Eagles,Lee Bouggess 1 yard rush (Tom Dempsey kick),7,0
1,2.0,Eagles,Tom Dempsey 22 yard field goal,10,0
2,2.0,Eagles,Tom Dempsey 25 yard field goal,13,0
3,2.0,Eagles,Tom Dempsey 52 yard field goal,16,0
4,3.0,Lions,Greg Landry 2 yard rush (Errol Mann kick),16,7
5,3.0,Lions,Errol Mann 31 yard field goal,16,10
6,4.0,Lions,Errol Mann 32 yard field goal,16,13
7,4.0,Lions,Greg Landry 5 yard rush (Errol Mann kick),16,20
8,4.0,Eagles,Kent Kramer 5 yard pass from Pete Liske (Tom Dempsey kick),23,20
