,Quarter,Tm,Detail,STL,IND
0,1.0,Colts,Curtis Dickey 10 yard rush (Dean Biasucci kick),0,7
1,2.0,Cardinals,Ottis Anderson 10 yard rush (Neil O'Donoghue kick),7,7
2,2.0,Cardinals,Leonard Smith 25 yard interception return (Neil O'Donoghue kick),14,7
3,2.0,Colts,Tracy Porter 63 yard pass from Curtis Dickey (Dean Biasucci kick),14,14
4,2.0,Colts,Dean Biasucci 21 yard field goal,14,17
5,3.0,Colts,Dean Biasucci 50 yard field goal,14,20
6,3.0,Cardinals,Neil O'Donoghue 47 yard field goal,17,20
7,3.0,Colts,Phil Smith 96 yard kickoff return,17,26
8,4.0,Cardinals,Roy Green 47 yard pass from Neil Lomax (Neil O'Donoghue kick),24,26
9,4.0,Colts,Dave Young 4 yard pass from Mike Pagel (Dean Biasucci kick),24,33
10,4.0,Cardinals,Roy Green 56 yard pass from Neil Lomax (Neil O'Donoghue kick),31,33
11,4.0,Cardinals,Neil O'Donoghue 46 yard field goal,34,33
