,Quarter,Tm,Detail,BUF,HRT
0,1,Rangers,Elmer Slough unknown yard pass from Jim Kendrick (Jim Kendrick kick),7,0
1,2,Rangers,Jim Kendrick unknown yard rush,13,0
2,4,Blues,Jim Manning unknown yard pass from Vic Radzievitch (Vic Radzievitch kick),13,7
