,Quarter,Tm,Detail,GNB,TAM
0,1.0,Packers,Sterling Sharpe 7 yard pass from Brett Favre (Chris Jacke kick),7,0
1,2.0,Packers,Sterling Sharpe 30 yard pass from Brett Favre (Chris Jacke kick),14,0
2,2.0,Packers,Sterling Sharpe 10 yard pass from Brett Favre (Chris Jacke kick),21,0
3,2.0,Packers,Chris Jacke 50 yard field goal,24,0
4,3.0,Packers,Chris Jacke 44 yard field goal,27,0
5,3.0,Packers,Chris Jacke 24 yard field goal,30,0
6,3.0,Buccaneers,Horace Copeland 26 yard pass from Craig Erickson (Michael Husted kick),30,7
7,4.0,Packers,Sterling Sharpe 32 yard pass from Brett Favre (Chris Jacke kick),37,7
8,4.0,Buccaneers,Horace Copeland 67 yard pass from Craig Erickson (Michael Husted kick),37,14
