,Quarter,Time,Tm,Detail,STL,TEN
0,1.0,3:00,Rams,Jeff Wilkins 27 yard field goal,3,0
1,2.0,4:16,Rams,Jeff Wilkins 29 yard field goal,6,0
2,2.0,0:15,Rams,Jeff Wilkins 28 yard field goal,9,0
3,3.0,7:20,Rams,Torry Holt 9 yard pass from Kurt Warner (Jeff Wilkins kick),16,0
4,3.0,0:14,Titans,Eddie George 1 yard rush (pass failed),16,6
5,4.0,7:21,Titans,Eddie George 2 yard rush (Al Del Greco kick),16,13
6,4.0,2:12,Titans,Al Del Greco 43 yard field goal,16,16
7,4.0,1:54,Rams,Isaac Bruce 73 yard pass from Kurt Warner (Jeff Wilkins kick),23,16
