,Quarter,Time,Tm,Detail,PIT,BAL
0,1.0,,Steelers,Norm Johnson 27 yard field goal,3,0
1,1.0,,Ravens,Matt Stover 41 yard field goal,3,3
2,3.0,,Steelers,Norm Johnson 49 yard field goal,6,3
3,3.0,,Steelers,Kordell Stewart 1 yard rush (Norm Johnson kick),13,3
4,4.0,,Steelers,Charles Johnson 20 yard pass from Kordell Stewart (Norm Johnson kick),20,3
5,4.0,,Ravens,Matt Stover 25 yard field goal,20,6
6,4.0,,Ravens,Jermaine Lewis 64 yard pass from Eric Zeier (Matt Stover kick),20,13
