,Quarter,Time,Tm,Detail,ARI,STL
0,1.0,,Rams,Robert Holcombe 5 yard rush (Jeff Wilkins kick),0,7
1,2.0,,Cardinals,Joe Nedney 22 yard field goal,3,7
2,2.0,,Cardinals,Frank Sanders 13 yard pass from Jake Plummer (Joe Nedney kick),10,7
3,2.0,1:09,Cardinals,Adrian Murrell 4 yard rush (Joe Nedney kick),17,7
4,2.0,0:06,Rams,Jeff Wilkins 57 yard field goal,17,10
5,4.0,0:06,Rams,Robert Holcombe 4 yard rush (Jeff Wilkins kick),17,17
6,4.0,0:06,Cardinals,Joe Nedney 29 yard field goal,20,17
