,Quarter,Time,Tm,Detail,DET,WAS
0,1,,Redskins,Eddie Murray 26 yard field goal,0,3
1,1,,Lions,Jason Hanson 42 yard field goal,3,3
2,1,,Redskins,Eddie Murray 36 yard field goal,3,6
3,2,,Redskins,Terry Allen 1 yard rush (Eddie Murray kick),3,13
4,2,,Lions,Jason Hanson 20 yard field goal,6,13
5,2,,Lions,Herman Moore 17 yard pass from Scott Mitchell (Jason Hanson kick),13,13
6,3,,Lions,Johnnie Morton 7 yard pass from Scott Mitchell (Jason Hanson kick),20,13
7,3,,Redskins,Terry Allen 2 yard rush (Eddie Murray kick),20,20
8,4,,Lions,Jason Hanson 39 yard field goal,23,20
9,4,,Redskins,Henry Ellard 13 yard pass from Gus Frerotte (Eddie Murray kick),23,27
10,4,,Lions,Brett Perriman 51 yard pass from Scott Mitchell (Jason Hanson kick),30,27
11,4,,Redskins,Eddie Murray 39 yard field goal,30,30
12,OT,11:25,Redskins,Darrell Green 7 yard interception return,30,36
