,Quarter,Tm,Detail,RAM,PHI
0,1.0,Rams,David Ray 42 yard field goal,3,0
1,2.0,Rams,Willie Ellison 1 yard rush (David Ray kick),10,0
2,2.0,Rams,Bob Thomas 2 yard rush (David Ray kick),17,0
3,2.0,Eagles,Tom Dempsey 52 yard field goal,17,3
4,3.0,Rams,David Ray 16 yard field goal,20,3
5,3.0,Rams,John Love 19 yard pass from Roman Gabriel (David Ray kick),27,3
6,4.0,Rams,Jim Bertelsen 6 yard rush (David Ray kick),34,3
