,Quarter,Tm,Detail,ATL,SFO
0,2.0,49ers,Freddie Solomon 14 yard pass from Joe Montana (Ray Wersching kick),0,7
1,2.0,49ers,Ray Wersching 48 yard field goal,0,10
2,3.0,Falcons,William Andrews 1 yard rush (Mick Luckhurst kick),7,10
3,4.0,49ers,Charle Young 3 yard pass from Joe Montana (Ray Wersching kick),7,17
4,4.0,Falcons,Alfred Jackson 25 yard pass from Steve Bartkowski (Mick Luckhurst kick),14,17
