,Quarter,Tm,Detail,WAS,TAM
0,1.0,Redskins,Charlie Brown 8 yard pass from Joe Theismann,6,0
1,1.0,Redskins,Mark Moseley 35 yard field goal,9,0
2,2.0,Buccaneers,Kevin House 62 yard pass from Doug Williams,9,6
3,2.0,Redskins,Mark Moseley 21 yard field goal,12,6
4,2.0,Redskins,Curtis Jordan special teams fumble recovery in end zone,18,6
5,4.0,Buccaneers,James Wilder 7 yard rush (Bill Capece kick),18,13
6,4.0,Redskins,Mark Moseley 19 yard field goal,21,13
