,Quarter,Tm,Detail,PHI,PIT
0,1,Steelers,Jim Finks 1 yard rush (Art Michalik kick),0,7
1,2,Eagles,Bibbles Bawel 42 yard interception return (Dick Bielski kick),7,7
2,3,Steelers,Lynn Chandnois 2 yard rush,7,13
