,Quarter,Tm,Detail,CLE,CHI
0,1,Bears,Red Grange 2 yard rush (Luke Johnsos kick),0,7
1,2,Bears,Joe Lintzenich unknown yard pass from Carl Brumbaugh (Luke Johnsos kick),0,14
2,4,Bears,Bill Senn 5 yard rush (Bill Senn kick),0,21
