,Quarter,Tm,Detail,CRD,NYG
0,1.0,Cardinals,Joe Geri 32 yard field goal,3,0
1,1.0,Giants,Bob McChesney 15 yard pass from Charlie Conerly (Ray Poole kick),3,7
2,2.0,Cardinals,Billy Cross 56 yard pass from Charley Trippi (Joe Geri kick),10,7
3,2.0,Giants,Bob McChesney 34 yard pass from Charlie Conerly (Ray Poole kick),10,14
4,2.0,Cardinals,Charley Trippi 1 yard rush (Joe Geri kick),17,14
5,3.0,Giants,Kyle Rote 18 yard pass from Charlie Conerly (Charlie Conerly run),17,21
6,4.0,Giants,"Safety, Trippi tackled in end zone by Weinmeister",17,23
7,4.0,Cardinals,Ollie Matson 6 yard rush (Joe Geri kick),24,23
